Resource Name, Resource URI, HTTP Method
Placement start/stop, /control/placement/{start/stop}/{LIS_ID}, POST
Placement configuration, /configuration/placement/{LIS_ID}, POST
Placement status, /configuration/placement/{LIS_ID}, GET
Radio communication start/stop, /control/radiocomms/{start/stop}{LIS_ID}, POST
Radio communications configuration, /configuration/radiocomms/{LIS_ID}, POST
Radio communications feedback, /configuration/radiocomms/{LIS_ID}/feedback, POST
Radio communications status, /configuration/radiocomms/{LIS_ID}/status, GET
Radio sensing start/stop, /control/radio-sensing/{start/stop}/{LIS_ID}, POST
Radio sensing configuration, /configuration/radio-sensing/{LIS_ID},POST
Radio sensing status, /configuration/radio-sensing/{LIS_ID}/status,GET
