Resource Name, Resource URI, HTTP Method
gNB Placement Status, /gNB/placement-status/{gNB_ID}, GET
gNB Placement Setup, /gNB/placement-setup/{gNB_ID},POST
gNB Radio Communications Status, /gNB/radiocommunications-status/{gNB_ID},GET
gNB Radio Communications Setup, /gNB/radiocommunications-setup/{gNB_ID},POST
gNB Radio sensing Status, /gNB/radiosensing-status/{gNB_ID},GET
gNB Radio sensing Setup, /gNB/radiosensing-setup/{gNB_ID},POST
gNB Video sensing Status, /gNB/videosensing-status/{gNB_ID},GET
gNB Video sensing Setup, /gNB/videosensing-setup/{gNB_ID},POST
gNB x-APP Status, /gNB/xapp-status/{id}, GET
gNB x-APP Upload, /gNB/xapp-setup/{id}, POST
UE Placement Status, /UE/placement-status/{UE_ID}, GET
UE Placement Setup, /UE/placement-setup/{UE_ID}, POST
UE Radio Communications Status, /UE/radiocommunications-status/{UE_ID}, GET
UE Radio Communications Setup, /UE/radiocommunications-setup/{UE_ID}, POST
UE Radio sensing Status, /UE/radiosensing-status/{UE_ID}, GET
UE Radio sensing Setup, /UE/radiosensing-setup/{UE_ID}, POST
UE Video sensing Status, /UE/videosensing-status/{UE_ID}, GET
UE Video sensing Setup, /UE/videosensing-setup/{UE_ID}, POST
LIS Placement Status, /LIS/placement-status/{LIS_ID},GET
LIS Placement Setup, /LIS/placement-setup/{LIS_ID},POST
LIS Radio Communications Setup, /LIS/radiocommunications-setup/{LIS_ID}, POST
LIS Radio sensing Status, /LIS/radiosensing-status/{LIS_ID}, GET
LIS Radio sensing Setup, /LIS/radiosensing-setup/{LIS_ID}, POST
LIS Video sensing Status, /LIS/videosensing-status/{LIS_ID}, GET
LIS Video sensing Setup, /LIS/videosensing-setup/{LIS_ID}, POST 
CTCF Status, /CTCF/status/{CTCF_ID}, GET
CTCF Setup, /CTCF/setup/{CTCF_ID}, POST
3D-S Status, /3DS/status, GET
3D-S Setup, /3DS/setup, POST
VR-S Status, /VRS/status, GET
VRS Setup, /VRS/setup, POST
NET-S Status, /NETS/status, GET
NET-S Setup, /NETS/setup, POST
ML Model Upload, /ML/upload, POST
ML Model Download, /ML/download, GET
ODR Dataset Download, /ODR/downlink, GET
ODR Dataset Upload, /ODR/upload, POST
Experiment Status, /CBF/status, GET
